"Airports";"Periods";"Aircraft movements/Cross-country flights (number)";"Aircraft movements/Local flights (number)";"Commercial air traffic/Flights/All flights/Total flights (number)";"Commercial air traffic/Flights/All flights/Scheduled (number)";"Commercial air traffic/Passengers/Total passengers/Total passengers (number)";"Commercial air traffic/Cargo/Total cargo/Total cargo (ton)";"Commercial air traffic/Mail/Total mail/Total mail (ton)"
"Amsterdam Airport Schiphol";"2004 May";36903;372;35697;31771;3843271;115226;3463
"Amsterdam Airport Schiphol";"2004 June";36061;345;34865;31443;3796961;110488;3496
"Amsterdam Airport Schiphol";"2004 July";37832;329;36912;32568;4337767;114176;3764
"Amsterdam Airport Schiphol";"2004 August";37520;315;36696;32374;4243630;109672;3479
"Amsterdam Airport Schiphol";"2004 September";36625;350;35330;32024;3927202;116297;3830
"Amsterdam Airport Schiphol";"2004 October";37678;364;36481;32564;3915296;131131;4000
"Amsterdam Airport Schiphol";"2004 November";32627;270;31646;29758;3087396;134839;3893
"Amsterdam Airport Schiphol";"2004 December";31534;207;30584;28719;2963792;132699;5586
"Amsterdam Airport Schiphol";"2005 January";31259;258;30353;28434;2955792;114306;3834
"Amsterdam Airport Schiphol";"2005 February";29473;235;28579;26636;2829925;112970;3647
"Amsterdam Airport Schiphol";"2005 March";32777;238;31827;29719;3281195;125370;3903
"Amsterdam Airport Schiphol";"2005 April";34906;264;33739;31321;3548011;121326;3714
"Amsterdam Airport Schiphol";"2005 May";37799;304;36673;32755;4059648;113852;3763
"Amsterdam Airport Schiphol";"2005 June";36606;319;35239;32123;3941175;114623;3328
"Amsterdam Airport Schiphol";"2005 July";38212;350;37256;32835;4528594;118446;3288
"Amsterdam Airport Schiphol";"2005 August";38182;411;37282;32961;4433151;113511;3284
"Amsterdam Airport Schiphol";"2005 September";36881;293;35712;32316;4145737;117368;3631
"Amsterdam Airport Schiphol";"2005 October";37503;314;36321;32630;4077132;130266;3982
"Amsterdam Airport Schiphol";"2005 November";32582;258;31482;29861;3198519;133206;4123
"Amsterdam Airport Schiphol";"2005 December";31084;225;30131;28509;3078660;134612;5566
"Amsterdam Airport Schiphol";"2006 January";31271;254;30299;28660;3028207;114184;3478
"Amsterdam Airport Schiphol";"2006 February";29164;253;28403;26788;2858444;113676;3326
"Amsterdam Airport Schiphol";"2006 March";34129;287;33044;31377;3399315;137746;3465
"Amsterdam Airport Schiphol";"2006 April";35799;261;34698;32407;3808994;127598;3222
"Amsterdam Airport Schiphol";"2006 May";39444;362;38146;34221;4176097;121475;3115
"Amsterdam Airport Schiphol";"2006 June";38852;346;37526;33805;4228327;124223;2892
"Amsterdam Airport Schiphol";"2006 July";40336;388;39290;34320;4744439;123741;3015
"Amsterdam Airport Schiphol";"2006 August";40077;346;39036;34383;4608170;119822;3045
"Amsterdam Airport Schiphol";"2006 September";38804;363;37521;33699;4295374;130823;3077
"Amsterdam Airport Schiphol";"2006 October";39598;404;38413;35059;4201473;139516;3552
"Amsterdam Airport Schiphol";"2006 November";35503;333;34346;32777;3353275;136858;3669
"Amsterdam Airport Schiphol";"2006 December";33289;292;32400;30725;3286851;136890;4465
"Amsterdam Airport Schiphol";"2007 January";33704;289;32686;31187;3169889;115764;3211
"Amsterdam Airport Schiphol";"2007 February";31910;322;30915;29405;3051720;118630;3011
"Amsterdam Airport Schiphol";"2007 March";36626;381;35459;33594;3695426;139895;3409
"Amsterdam Airport Schiphol";"2007 April";37247;470;36079;33780;3905501;128957;3121
"Amsterdam Airport Schiphol";"2007 May";40732;403;39509;35660;4296458;126509;3295
"Amsterdam Airport Schiphol";"2007 June";39390;364;38054;34756;4246247;135483;3281
"Amsterdam Airport Schiphol";"2007 July";41739;358;40464;35612;4921849;133444;3107
"Amsterdam Airport Schiphol";"2007 August";41107;458;40136;35367;4821446;130053;3199
"Amsterdam Airport Schiphol";"2007 September";39108;393;37832;34361;4425064;139510;3318
"Amsterdam Airport Schiphol";"2007 October";39998;379;38653;35357;4379099;147181;3650
"Amsterdam Airport Schiphol";"2007 November";35070;343;33886;32223;3472889;150699;3806
"Amsterdam Airport Schiphol";"2007 December";33240;323;32299;30586;3359160;144158;4695
"Amsterdam Airport Schiphol";"2008 January";33619;383;32519;31116;3200944;124926;3064
"Amsterdam Airport Schiphol";"2008 February";32255;376;31213;29718;3153170;129983;2916
"Amsterdam Airport Schiphol";"2008 March";35444;339;34207;32475;3741498;147001;3029
"Amsterdam Airport Schiphol";"2008 April";37413;456;36218;33914;3918719;138095;2982
"Amsterdam Airport Schiphol";"2008 May";40482;463;39172;35483;4403449;131989;2764
"Amsterdam Airport Schiphol";"2008 June";39731;446;38202;34663;4400407;131934;2636
"Amsterdam Airport Schiphol";"2008 July";40917;408;39759;35123;4847473;129296;2680
"Amsterdam Airport Schiphol";"2008 August";40059;405;39114;34492;4716136;127823;2541
"Amsterdam Airport Schiphol";"2008 September";38727;401;37471;34185;4297440;128258;2506
"Amsterdam Airport Schiphol";"2008 October";39201;429;38090;35035;4272253;135817;2796
"Amsterdam Airport Schiphol";"2008 November";32913;360;32029;30660;3271834;133785;3125
"Amsterdam Airport Schiphol";"2008 December";31104;358;30338;28981;3168388;108805;3835
"Amsterdam Airport Schiphol";"2009 January";30635;372;29843;28634;2911748;90767;2701
"Amsterdam Airport Schiphol";"2009 February";28408;352;27555;26367;2720999;94948;2357
"Amsterdam Airport Schiphol";"2009 March";32379;384;31503;30196;3199918;105079;2641
"Amsterdam Airport Schiphol";"2009 April";34185;428;33256;31427;3672623;97604;2505
"Amsterdam Airport Schiphol";"2009 May";36295;438;35264;32386;3892013;100447;2432
"Amsterdam Airport Schiphol";"2009 June";35406;471;34308;31699;3850845;100226;2386
"Amsterdam Airport Schiphol";"2009 July";37616;436;36666;32418;4532467;108305;2254
"Amsterdam Airport Schiphol";"2009 August";37121;523;36372;32071;4484739;108618;2163
"Amsterdam Airport Schiphol";"2009 September";35147;393;34184;31324;4014972;109540;2441
"Amsterdam Airport Schiphol";"2009 October";35291;322;34315;31596;3983758;122542;2564
"Amsterdam Airport Schiphol";"2009 November";30709;385;29820;28603;3158459;129702;2738
"Amsterdam Airport Schiphol";"2009 December";28934;345;28179;26919;3100569;118591;3564
"Amsterdam Airport Schiphol";"2010 January";29186;308;28470;27319;2935404;106936;2494
"Amsterdam Airport Schiphol";"2010 February";27839;330;27102;25829;2855719;112086;1994
"Amsterdam Airport Schiphol";"2010 March";32397;489;31373;29913;3465611;134089;2229
"Amsterdam Airport Schiphol";"2010 April";27514;466;26687;24931;3006985;110331;1995
"Amsterdam Airport Schiphol";"2010 May";35594;404;34623;31001;4095110;128771;2202
"Amsterdam Airport Schiphol";"2010 June";35506;559;34346;31229;4104793;123899;1997
"Amsterdam Airport Schiphol";"2010 July";38009;420;37036;32120;4730788;130220;1922
"Amsterdam Airport Schiphol";"2010 August";37601;496;36728;31946;4642726;130937;1830
"Amsterdam Airport Schiphol";"2010 September";35697;398;34583;31306;4246919;131159;2077
"Amsterdam Airport Schiphol";"2010 October";36530;449;35453;32108;4308032;141156;2160
"Amsterdam Airport Schiphol";"2010 November";32321;395;31417;29714;3508154;136927;2325
"Amsterdam Airport Schiphol";"2010 December";29220;247;28498;26761;3236641;125740;2654
"Amsterdam Airport Schiphol";"2011 January";31233;374;30363;28894;3257275;122254;2096
"Amsterdam Airport Schiphol";"2011 February";28891;288;28048;26757;3045631;111405;1723
"Amsterdam Airport Schiphol";"2011 March";33910;421;32878;31284;3657692;135646;2001
"Amsterdam Airport Schiphol";"2011 April";36349;499;35292;33042;4125747;131324;1944
"Amsterdam Airport Schiphol";"2011 May";39153;497;38013;34915;4472507;130586;1988
"Amsterdam Airport Schiphol";"2011 June";38061;375;36920;34006;4513455;121858;2103
"Amsterdam Airport Schiphol";"2011 July";40488;426;39555;35134;5150896;130591;1960
"Amsterdam Airport Schiphol";"2011 August";40566;453;39631;35149;5057815;126824;1859
"Amsterdam Airport Schiphol";"2011 September";38768;491;37597;34309;4681742;123284;2020
"Amsterdam Airport Schiphol";"2011 October";39074;445;38066;34870;4603682;135804;2213
"Amsterdam Airport Schiphol";"2011 November";33204;371;32324;30872;3580181;128913;2637
"Amsterdam Airport Schiphol";"2011 December";32424;322;31558;30340;3534002;125315;3337
"Amsterdam Airport Schiphol";"2012 January";31911;338;31134;29897;3422762;108877;2233
"Amsterdam Airport Schiphol";"2012 February";30805;283;30069;28784;3295209;118016;2032
"Amsterdam Airport Schiphol";"2012 March";34921;321;33871;32393;3868093;131325;2255
"Amsterdam Airport Schiphol";"2012 April";36291;342;35348;33392;4189245;123613;2055
"Amsterdam Airport Schiphol";"2012 May";39221;312;38118;35058;4544332;124957;2179
"Amsterdam Airport Schiphol";"2012 June";38460;383;37449;34300;4612845;122386;2230
"Amsterdam Airport Schiphol";"2012 July";40898;323;40012;35612;5221595;126615;2206
"Amsterdam Airport Schiphol";"2012 August";40602;311;39849;35429;5137505;121646;2129
"Amsterdam Airport Schiphol";"2012 September";38523;281;37488;34188;4760439;125725;2204
"Amsterdam Airport Schiphol";"2012 October";38645;303;37782;34749;4643697;126760;2525
"Amsterdam Airport Schiphol";"2012 November";32956;278;32064;30565;3692267;127763;2884
"Amsterdam Airport Schiphol";"2012 December";30891;291;30221;28844;3587603;125763;3443
"Amsterdam Airport Schiphol";"2013 January";30705;299;29949;28699;3386231;116137;2660
"Amsterdam Airport Schiphol";"2013 February";29469;268;28706;27326;3265809;113469;2312
"Amsterdam Airport Schiphol";"2013 March";33873;366;32989;31382;3968009;136663;2853
"Amsterdam Airport Schiphol";"2013 April";36889;334;35990;33966;4332719;123416;2773
"Amsterdam Airport Schiphol";"2013 May";40101;294;39002;35844;4864335;122489;2806
"Amsterdam Airport Schiphol";"2013 June";38857;363;37816;34858;4855577;124435;2678
"Amsterdam Airport Schiphol";"2013 July";41018;375;40125;35772;5322568;124515;2777
"Amsterdam Airport Schiphol";"2013 August";40786;320;40004;35630;5333474;128633;2768
"Amsterdam Airport Schiphol";"2013 September";39355;349;38274;35138;4897174;130631;2845
"Amsterdam Airport Schiphol";"2013 October";39234;315;38308;35538;4745696;135003;3209
"Amsterdam Airport Schiphol";"2013 November";33461;288;32622;31325;3772625;140896;3371
"Amsterdam Airport Schiphol";"2013 December";32455;277;31780;30623;3783482;134800;3821
"Amsterdam Airport Schiphol";"2014 January";32093;332;31392;30261;3616552;123059;2978
"Amsterdam Airport Schiphol";"2014 February";30200;279;29450;28189;3435592;123387;2678
"Amsterdam Airport Schiphol";"2014 March";35021;332;34033;32661;4076472;146545;3011
"Amsterdam Airport Schiphol";"2014 April";37505;347;36630;34503;4560642;134625;2934
"Amsterdam Airport Schiphol";"2014 May";40531;311;39493;36424;4987951;139734;2943
"Amsterdam Airport Schiphol";"2014 June";39885;367;38789;35986;5032637;134350;2847
"Amsterdam Airport Schiphol";"2014 July";42105;321;41227;37090;5455674;136649;3090
"Amsterdam Airport Schiphol";"2014 August";42259;265;41427;37046;5618436;136638;3147
"Amsterdam Airport Schiphol";"2014 September";40680;273;39685;36598;5185505;136093;3073
"Amsterdam Airport Schiphol";"2014 October";40786;315;39756;37049;5023568;145348;3382
"Amsterdam Airport Schiphol";"2014 November";34397;265;33554;32334;3972843;142878;3432
"Amsterdam Airport Schiphol";"2014 December";33545;266;32859;31693;3974662;133886;3964
"Amsterdam Airport Schiphol";"2015 January";32746;283;32032;30877;3719441;120267;3428
"Amsterdam Airport Schiphol";"2015 February";31365;266;30607;29457;3602644;125978;2857
"Amsterdam Airport Schiphol";"2015 March";35498;255;34599;33385;4194059;139596;2899
"Amsterdam Airport Schiphol";"2015 April";38460;312;37602;35824;4769994;128842;2801
"Amsterdam Airport Schiphol";"2015 May";42132;281;41072;38046;5380588;137664;2667
"Amsterdam Airport Schiphol";"2015 June";41273;271;40066;37419;5321300;132218;2655
"Amsterdam Airport Schiphol";"2015 July";43503;282;42494;38460;5914428;133762;2545
"Amsterdam Airport Schiphol";"2015 August";43212;343;42339;38216;5937238;137613;2456
"Amsterdam Airport Schiphol";"2015 September";41616;251;40558;37863;5466239;137612;2627
"Amsterdam Airport Schiphol";"2015 October";41305;274;40241;37944;5326372;147194;2857
"Amsterdam Airport Schiphol";"2015 November";35487;258;34454;33509;4325395;144722;2847
"Amsterdam Airport Schiphol";"2015 December";35520;315;34609;33745;4287593;135283;3746
"Amsterdam Airport Schiphol";"2016 January";34003;352;33151;32373;4108820;125976;3145
"Amsterdam Airport Schiphol";"2016 February";33832;385;32959;32156;4095405;122829;2558
"Amsterdam Airport Schiphol";"2016 March";37962;475;36903;36011;4745869;140199;3039
"Amsterdam Airport Schiphol";"2016 April";40914;443;39780;38401;5243473;137607;2924
"Amsterdam Airport Schiphol";"2016 May";44671;568;43419;41262;5732006;134566;2728
"Amsterdam Airport Schiphol";"2016 June";43613;520;42418;40530;5736839;135528;2509
"Amsterdam Airport Schiphol";"2016 July";46406;510;45260;42630;6370808;139650;2434
"Amsterdam Airport Schiphol";"2016 August";46592;475;45703;42938;6402126;136263;2499
"Amsterdam Airport Schiphol";"2016 September";44323;541;43186;41191;5866487;140209;2404
"Amsterdam Airport Schiphol";"2016 October";44334;510;43389;41643;5782773;152932;2592
"Amsterdam Airport Schiphol";"2016 November";37289;459;36325;35499;4694112;146500;2619
"Amsterdam Airport Schiphol";"2016 December";37131;368;36371;35519;4747645;149419;2996
"Amsterdam Airport Schiphol";"2017 January";36373;374;35663;34713;4559527;135172;2450
"Amsterdam Airport Schiphol";"2017 February";34292;381;33400;32522;4324272;131539;2016
"Amsterdam Airport Schiphol";"2017 March";40468;519;39436;38436;5161224;153545;2394
"Amsterdam Airport Schiphol";"2017 April";42894;518;41873;40341;5837225;146344;2161
"Amsterdam Airport Schiphol";"2017 May";46630;482;45418;43324;6207951;151437;2185
"Amsterdam Airport Schiphol";"2017 June";45193;419;44011;41994;6144775;148765;2185
"Amsterdam Airport Schiphol";"2017 July";47602;432;46495;43396;6729274;148761;2196
"Amsterdam Airport Schiphol";"2017 August";47755;480;46863;43578;6788668;146666;1837
"Amsterdam Airport Schiphol";"2017 September";45392;457;44269;41890;6258281;150152;1733
"Amsterdam Airport Schiphol";"2017 October";45957;442;44849;42844;6242908;154584;2022
"Amsterdam Airport Schiphol";"2017 November";39037;476;37963;37223;5170757;145153;2168
"Amsterdam Airport Schiphol";"2017 December";37324;404;36499;35654;4975525;140239;2464
"Amsterdam Airport Schiphol";"2018 January";37971;399;37113;36221;4908989;133215;2031
"Amsterdam Airport Schiphol";"2018 February";35948;461;35069;34269;4741806;132076;1586
"Amsterdam Airport Schiphol";"2018 March";41220;455;40059;39154;5559456;146249;1962
"Amsterdam Airport Schiphol";"2018 April";42901;448;41861;40487;6016915;137149;1804
"Amsterdam Airport Schiphol";"2018 May";45892;507;44742;42717;6393936;144688;1643
"Amsterdam Airport Schiphol";"2018 June";44775;503;43499;41649;6377393;143589;1658
"Amsterdam Airport Schiphol";"2018 July";46761;513;45551;43317;6765004;144359;1642
"Amsterdam Airport Schiphol";"2018 August";46648;447;45713;43366;6836668;146537;1674
"Amsterdam Airport Schiphol";"2018 September";45341;443;44198;42252;6396940;145595;1658
"Amsterdam Airport Schiphol";"2018 October";46170;539;45100;43390;6402290;153064;1831
"Amsterdam Airport Schiphol";"2018 November";39363;534;38382;37679;5296943;143974;1924
"Amsterdam Airport Schiphol";"2018 December";39038;457;38157;37422;5260254;137636;2073
"Amsterdam Airport Schiphol";"2019 January";38009;515;37185;36490;4996131;122643;1615
"Amsterdam Airport Schiphol";"2019 February";36127;434;35195;34768;4836332;115797;1398
"Amsterdam Airport Schiphol";"2019 March";40748;534;39785;39404;5630314;144773;1761
"Amsterdam Airport Schiphol";"2019 April";42976;564;41892;41325;6104010;126743;1747
"Amsterdam Airport Schiphol";"2019 May";45990;521;44706;43937;6441473;133648;1860
"Amsterdam Airport Schiphol";"2019 June";44742;505;43348;42661;6502588;123888;1736
"Amsterdam Airport Schiphol";"2019 July";45936;492;44736;43906;6724023;129143;1876
"Amsterdam Airport Schiphol";"2019 August";46167;483;45122;44265;6810759;130581;1774
"Amsterdam Airport Schiphol";"2019 September";45302;456;44131;43318;6493468;136819;1747
"Amsterdam Airport Schiphol";"2019 October";45643;546;44502;43851;6431122;143579;1974
"Amsterdam Airport Schiphol";"2019 November";38828;494;37800;37508;5323306;136256;2133
"Amsterdam Airport Schiphol";"2019 December";39257;515;38425;38155;5386203;126376;2338
"Amsterdam Airport Schiphol";"2020 January";38410;468;37567;37263;5074773;113080;1908
"Amsterdam Airport Schiphol";"2020 February";35942;486;34979;34608;4719769;116293;1491
"Amsterdam Airport Schiphol";"2020 March";25883;529;25155;24619;2476372;120481;1167
"Amsterdam Airport Schiphol";"2020 April";4583;371;4236;3850;126015;93255;382
"Amsterdam Airport Schiphol";"2020 May";6347;403;5873;5279;207827;104745;542
"Amsterdam Airport Schiphol";"2020 June";8797;422;8108;7619;471410;108164;855
"Amsterdam Airport Schiphol";"2020 July";16789;430;15702;15170;1338857;119634;1083
"Amsterdam Airport Schiphol";"2020 August";24093;519;23125;22671;1854786;119975;1283
"Amsterdam Airport Schiphol";"2020 September";23046;442;22162;21764;1337741;124491;1251
"Amsterdam Airport Schiphol";"2020 October";20306;378;19614;19323;1143483;140140;1521
"Amsterdam Airport Schiphol";"2020 November";15382;402;14858;14322;900434;145474;1511
"Amsterdam Airport Schiphol";"2020 December";16576;397;15896;15161;1233043;135866;1837
"Amsterdam Airport Schiphol";"2021 January";15181;458;14666;14225;869129;133222;1403
"Amsterdam Airport Schiphol";"2021 February";11083;409;10655;10173;505194;125137;1109
"Amsterdam Airport Schiphol";"2021 March";12905;466;12217;11656;660176;153206;1379
"Amsterdam Airport Schiphol";"2021 April";14489;402;13720;13254;786652;141132;1258
"Amsterdam Airport Schiphol";"2021 May";16628;439;15576;15220;1106740;147017;1223
"Amsterdam Airport Schiphol";"2021 June";20494;466;19195;18801;1678265;137956;1128
"Amsterdam Airport Schiphol";"2021 July";30496;390;29141;28577;3029951;130664;978
"Amsterdam Airport Schiphol";"2021 August";33118;430;31847;31222;3786973;130844;1049
"Amsterdam Airport Schiphol";"2021 September";31820;538;30019;29431;3370205;133245;1002
"Amsterdam Airport Schiphol";"2021 October";33037;428;31324;30789;3745991;149383;1040
"Amsterdam Airport Schiphol";"2021 November";29730;394;28371;27913;3095823;143831;943
"Amsterdam Airport Schiphol";"2021 December";31358;423;30225;29793;2855711;141667;1038
"Amsterdam Airport Schiphol";"2022 January*";27131;476;26231;25905;2488083;122553;827
"Amsterdam Airport Schiphol";"2022 February*";25198;333;24129;23743;2660676;118274;824
"Amsterdam Airport Schiphol";"2022 March*";31821;455;30382;29909;3732048;128198;819
"Amsterdam Airport Schiphol";"2022 April*";35035;494;33421;32752;4434587;116895;688
"Amsterdam Airport Schiphol";"2022 May*";40208;478;38419;37364;5217035;119478;685
"Amsterdam Airport Schiphol";"2022 June*";39103;475;36919;35915;5232630;116274;667
"Amsterdam Airport Schiphol";"2022 July*";38012;531;36000;35066;5179725;120131;584
"Amsterdam Airport Schiphol";"2022 August*";39284;535;37730;36811;5327361;116876;549
"Amsterdam Airport Schiphol";"2022 September*";39029;542;37027;36223;5196931;121508;538
"Amsterdam Airport Schiphol";"2022 October*";38087;597;36361;35507;4912421;125358;465
"Amsterdam Airport Schiphol";"2022 November*";31672;468;30348;30054;3987405;119074;461
"Amsterdam Airport Schiphol";"2022 December*";31884;448;30669;30389;4101978;113118;608
"Amsterdam Airport Schiphol";"2023 January*";31055;501;29987;29598;3896388;103981;478
"Amsterdam Airport Schiphol";"2023 February*";29446;467;28345;27995;3782228;109035;440
"Amsterdam Airport Schiphol";"2023 March*";34653;545;33128;32760;4585101;121746;457
"Amsterdam Airport Schiphol";"2023 April*";37777;492;36258;35746;5128555;113459;430
"Amsterdam Airport Schiphol";"2023 May*";41298;584;39568;38806;5599870;117999;471
"Amsterdam Airport Schiphol";"2023 June*";40723;541;38912;38170;5664120;112994;447
"Amsterdam Airport Schiphol";"2023 July*";42541;539;40965;39984;6009315;113536;407
"Amsterdam Airport Schiphol";"2023 August*";42932;525;41584;40570;6052884;110126;454
"Rotterdam The Hague Airport";"1999 January";2662;4184;1586;1384;35454;119;
"Rotterdam The Hague Airport";"1999 February";2615;3974;1570;1344;39278;128;
"Rotterdam The Hague Airport";"1999 March";3594;5654;1875;1556;40121;343;
"Rotterdam The Hague Airport";"1999 April";3444;6238;1732;1436;39909;119;
"Rotterdam The Hague Airport";"1999 May";4119;6196;1918;1574;64967;196;
"Rotterdam The Hague Airport";"1999 June";4149;6502;2050;1662;57489;219;
"Rotterdam The Hague Airport";"1999 July";4021;6596;1876;1532;64185;96;
"Rotterdam The Hague Airport";"1999 August";3858;6626;1962;1605;64680;42;
"Rotterdam The Hague Airport";"1999 September";3932;6214;2135;1713;63346;30;
"Rotterdam The Hague Airport";"1999 October";3651;5348;2099;1708;62131;134;
"Rotterdam The Hague Airport";"1999 November";3227;4948;1896;1621;41733;110;
"Rotterdam The Hague Airport";"1999 December";2485;3398;1606;1358;33874;67;
"Rotterdam The Hague Airport";"2000 January";2888;4470;1803;1482;35006;47;
"Rotterdam The Hague Airport";"2000 February";3220;4968;1842;1532;38721;64;
"Rotterdam The Hague Airport";"2000 March";3587;6028;2075;1649;46757;100;
"Rotterdam The Hague Airport";"2000 April";3954;6758;2085;1603;52305;114;
"Rotterdam The Hague Airport";"2000 May";4367;7118;2398;1835;74601;54;
"Rotterdam The Hague Airport";"2000 June";4605;6070;2419;1725;79429;127;
"Rotterdam The Hague Airport";"2000 July";3948;5154;2215;1750;77105;32;
"Rotterdam The Hague Airport";"2000 August";4029;6948;2117;1695;71070;32;
"Rotterdam The Hague Airport";"2000 September";3950;6242;2187;1661;76253;101;
"Rotterdam The Hague Airport";"2000 October";3538;5208;2256;1761;69313;23;
"Rotterdam The Hague Airport";"2000 November";3053;6024;1920;1555;42773;52;
"Rotterdam The Hague Airport";"2000 December";2543;4654;1489;1233;33279;36;
"Rotterdam The Hague Airport";"2001 January";2938;4026;1795;1475;34865;79;
"Rotterdam The Hague Airport";"2001 February";2750;4482;1614;1346;34790;62;
"Rotterdam The Hague Airport";"2001 March";3210;4814;1879;1547;42902;47;
"Rotterdam The Hague Airport";"2001 April";3033;5786;1428;1068;56380;24;
"Rotterdam The Hague Airport";"2001 May";3800;6360;1723;1190;81744;54;
"Rotterdam The Hague Airport";"2001 June";3715;5408;1800;1287;76968;35;
"Rotterdam The Hague Airport";"2001 July";3581;4546;1891;1334;93388;33;
"Rotterdam The Hague Airport";"2001 August";3643;4906;1954;1364;101666;92;
"Rotterdam The Hague Airport";"2001 September";3243;4150;1852;1268;84783;63;
"Rotterdam The Hague Airport";"2001 October";3300;4566;1804;1302;75952;57;
"Rotterdam The Hague Airport";"2001 November";2566;3624;1221;972;36609;16;
"Rotterdam The Hague Airport";"2001 December";1911;2516;972;795;27780;1;
"Rotterdam The Hague Airport";"2002 January";2288;2986;1306;1049;32355;55;
"Rotterdam The Hague Airport";"2002 February";2375;2822;1255;1015;35280;7;
"Rotterdam The Hague Airport";"2002 March";3254;5318;1406;1102;42660;27;
"Rotterdam The Hague Airport";"2002 April";3123;4404;1427;1127;47908;18;
"Rotterdam The Hague Airport";"2002 May";3419;4538;1677;1310;66776;9;
"Rotterdam The Hague Airport";"2002 June";3520;5204;1645;1170;60879;14;
"Rotterdam The Hague Airport";"2002 July";3416;4722;1642;1282;66950;20;
"Rotterdam The Hague Airport";"2002 August";3345;6414;1639;1249;66630;2;
"Rotterdam The Hague Airport";"2002 September";3670;6938;1707;1290;63603;4;
"Rotterdam The Hague Airport";"2002 October";3017;3148;1707;1349;58900;68;
"Rotterdam The Hague Airport";"2002 November";2739;2638;1437;1159;38518;44;
"Rotterdam The Hague Airport";"2002 December";2002;1672;1143;902;31562;18;
"Rotterdam The Hague Airport";"2003 January";1972;2030;1010;769;30951;9;0
"Rotterdam The Hague Airport";"2003 February";2291;2398;1058;802;35045;5;0
"Rotterdam The Hague Airport";"2003 March";2841;3062;1163;852;38499;27;0
"Rotterdam The Hague Airport";"2003 April";2699;3282;1154;885;45034;6;0
"Rotterdam The Hague Airport";"2003 May";3024;3726;1447;1005;66908;21;1
"Rotterdam The Hague Airport";"2003 June";3198;3856;1355;939;63270;16;0
"Rotterdam The Hague Airport";"2003 July";2971;2988;1429;1029;71569;14;0
"Rotterdam The Hague Airport";"2003 August";2721;3644;1268;884;64823;23;0
"Rotterdam The Hague Airport";"2003 September";3007;3854;1459;971;63448;73;0
"Rotterdam The Hague Airport";"2003 October";2557;2766;1223;842;60453;29;0
"Rotterdam The Hague Airport";"2003 November";2210;2216;1036;776;40759;0;0
"Rotterdam The Hague Airport";"2003 December";1770;1836;856;618;36064;7;0
"Rotterdam The Hague Airport";"2004 January";1739;1808;945;705;36511;0;0
"Rotterdam The Hague Airport";"2004 February";2159;1740;1090;763;40400;0;0
"Rotterdam The Hague Airport";"2004 March";2856;2886;1435;1096;62096;13;0
"Rotterdam The Hague Airport";"2004 April";3003;2858;1524;1172;97008;0;0
"Rotterdam The Hague Airport";"2004 May";3378;3136;1658;1155;114942;25;0
"Rotterdam The Hague Airport";"2004 June";3466;3076;1907;1333;111210;0;0
"Rotterdam The Hague Airport";"2004 July";3140;3178;1730;1322;124052;0;0
"Rotterdam The Hague Airport";"2004 August";2819;3126;1661;1266;121751;0;0
"Rotterdam The Hague Airport";"2004 September";3165;3038;1762;1315;111949;0;0
"Rotterdam The Hague Airport";"2004 October";3041;2572;1755;1307;115922;4;0
"Rotterdam The Hague Airport";"2004 November";2486;1658;1499;1232;82476;0;0
"Rotterdam The Hague Airport";"2004 December";2220;1420;1313;1082;78197;0;0
"Rotterdam The Hague Airport";"2005 January";2325;1592;1342;1103;72452;0;0
"Rotterdam The Hague Airport";"2005 February";2454;1750;1444;1158;73154;2;0
"Rotterdam The Hague Airport";"2005 March";2821;1846;1633;1336;86574;1;0
"Rotterdam The Hague Airport";"2005 April";3113;3136;1541;1235;86409;1;0
"Rotterdam The Hague Airport";"2005 May";3144;3420;1601;1234;101831;0;0
"Rotterdam The Hague Airport";"2005 June";3507;3794;1714;1282;102993;0;0
"Rotterdam The Hague Airport";"2005 July";3047;3226;1628;1241;110488;0;0
"Rotterdam The Hague Airport";"2005 August";2801;3630;1468;1134;96942;0;0
"Rotterdam The Hague Airport";"2005 September";2742;3094;1455;1032;78659;6;0
"Rotterdam The Hague Airport";"2005 October";2540;2888;1342;993;74208;5;0
"Rotterdam The Hague Airport";"2005 November";2406;2218;1365;1111;68344;0;0
"Rotterdam The Hague Airport";"2005 December";1930;1732;1099;909;58896;2;0
"Rotterdam The Hague Airport";"2006 January";2366;2326;1266;1053;59245;0;0
"Rotterdam The Hague Airport";"2006 February";2382;1754;1441;1150;65936;6;0
"Rotterdam The Hague Airport";"2006 March";2795;2346;1601;1334;77003;2;0
"Rotterdam The Hague Airport";"2006 April";2733;3342;1491;1188;81270;1;0
"Rotterdam The Hague Airport";"2006 May";3175;3019;1680;1203;109259;2;0
"Rotterdam The Hague Airport";"2006 June";3585;3424;1795;1209;104614;2;0
"Rotterdam The Hague Airport";"2006 July";3123;3022;1548;1134;108013;1;0
"Rotterdam The Hague Airport";"2006 August";2448;2640;1475;1099;101757;0;0
"Rotterdam The Hague Airport";"2006 September";3226;3026;1659;1160;107184;1;0
"Rotterdam The Hague Airport";"2006 October";2928;2226;1599;1199;99344;0;0
"Rotterdam The Hague Airport";"2006 November";2630;2208;1474;1247;65245;0;0
"Rotterdam The Hague Airport";"2006 December";2125;1406;1247;1040;59101;0;0
"Rotterdam The Hague Airport";"2007 January";2233;1686;1396;1187;62559;1;0
